number;id;pred_scale_x;pred_scale_y
10;372a56cac67dbaa6ce4091cd1fdc1159;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.4206537306308746,0.4419153034687042,0.4805472195148468,0.5373501777648926,0.6107563376426697,0.6932623386383057,0.7733314633369446,0.8297283649444580
11;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6879822015762329,0.6895354986190796,0.6892777085304260,0.6888774037361145,0.6889558434486389,0.6888901591300964,0.6885834336280823,0.6856952309608459;0.0093993004411459,0.0444897674024105,0.0976762473583221,0.1591811180114746,0.2168633192777634,0.2637940347194672,0.2979801893234253,0.3173183202743530
12;e4666d7885f2f45be9f58617a3839c55;0.6114681363105774,0.5880174636840820,0.5426093935966492,0.4747584760189056,0.3785294592380524,0.2570422291755676,0.1265463829040527,0.0274092461913824;0.8999792933464050,0.8999931216239929,0.8995571732521057,0.8992605209350586,0.8992728590965271,0.8997796773910522,0.8992964029312134,0.9002118706703186
13;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3127895295619965,0.2930628061294556,0.2595671713352203,0.2130091339349747,0.1567204892635345,0.0964043438434601,0.0429595485329628,0.0088853742927313;0.4735656380653381,0.4734165370464325,0.4716869890689850,0.4715265333652496,0.4722439944744110,0.4718253910541534,0.4711205065250397,0.4722409248352051
14;c7a14376ff2627413a7afdb816ee5572;0.8103983402252197,0.8101630210876465,0.8101983070373535,0.8098418116569519,0.8101847171783447,0.8102659583091736,0.8101344108581543,0.8104683756828308;0.0186658203601837,0.0919638276100159,0.1938157528638840,0.2964950501918793,0.3825675249099731,0.4477546513080597,0.4904154241085052,0.5137151479721069
15;a17c9d2e4ea7cce7a03918940cb72d87;0.1281618326902390,0.1175357848405838,0.1011653020977974,0.0815137401223183,0.0573265068233013,0.0347038470208645,0.0158381052315235,0.0040311319753528;0.4156532883644104,0.4148458242416382,0.4155799150466919,0.4174759387969971,0.4174266755580902,0.4183827638626099,0.4204503297805786,0.4215607941150665
16;d867dcf7063faaeb15b41bc2985ce00b;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.4142719805240631,0.4107477664947510,0.4065737128257751,0.3999750018119812,0.3937336802482605,0.3872618675231934,0.3822631835937500,0.3779371678829193
17;0a96c8d6dc0ed2d3d4032f3df7e72eef;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.5886828303337097,0.5913610458374023,0.5951186418533325,0.6008643507957458,0.6060016155242920,0.6118251085281372,0.6168712377548218,0.6195155978202820
18;1917fa1202fd8f18b45641f183544c2f;0.0079899253323674,0.0328553617000580,0.0756458491086960,0.1247518807649612,0.1720839440822601,0.2140935808420181,0.2453678846359253,0.2609911262989044;0.2807025909423828,0.2806481122970581,0.2823622822761536,0.2811092734336853,0.2818995416164398,0.2827516198158264,0.2821937799453735,0.2827741503715515
19;8975ef7df607253689476eae7028baf9;0.0540787018835545,0.2026896178722382,0.3762145042419434,0.5184280276298523,0.6208048462867737,0.6879693269729614,0.7290034890174866,0.7547193765640259;0.7752426266670227,0.7758682370185852,0.7770869135856628,0.7775422334671021,0.7783976197242737,0.7778549790382385,0.7760187983512878,0.7756528258323669
20;96ddb7ad56e07aa198b48366f12c121a;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.8048585057258606,0.7563618421554565,0.6806721687316895,0.5903556346893311,0.4985371232032776,0.4180631339550018,0.3578039109706879,0.3222152292728424
21;1ebda8d24d83ec4312619f4fe54d034f;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.1964701116085052,0.2438361644744873,0.3196853399276733,0.4105669558048248,0.5001210570335388,0.5802943706512451,0.6397210359573364,0.6749657392501831
22;9e71237cdf2f4382f6a710dd85355af3;0.0033437346573919,0.0161163192242384,0.0359830074012280,0.0597302168607712,0.0859134793281555,0.1085127219557762,0.1276371479034424,0.1380723565816879;0.2586740851402283,0.2613713741302490,0.2628105878829956,0.2628617882728577,0.2629268467426300,0.2643802464008331,0.2661697268486023,0.2671220302581787
23;f98c6489e96a73c08ba73e4e2c799a2f;0.9999992847442627,0.9999995231628418,0.9999996423721313,0.9999997615814209,0.9999997615814209,0.9999998807907104,0.9999997615814209,0.9999996423721313;0.5254790782928467,0.5023031234741211,0.4625353515148163,0.4032424092292786,0.3270641863346100,0.2400592118501663,0.1560080498456955,0.0930838435888290
24;c911783c6f928ba623f2b30bcbf7db83;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.4733006358146667,0.4950223863124847,0.5345193147659302,0.5940876603126526,0.6733356118202209,0.7639078497886658,0.8536593914031982,0.9164546132087708
25;f5f6edafb4b092756eb6acc36ead3b95;0.5749480724334717,0.5748233795166016,0.5741617083549500,0.5737472176551819,0.5778449773788452,0.5802465677261353,0.5833627581596375,0.5843474268913269;0.0037568770349026,0.0164916086941957,0.0384791754186153,0.0666693001985550,0.1016525626182556,0.1385287195444107,0.1781607568264008,0.2041632235050201
26;20d5b2348ee91b6b3810e5cf0f4ce92d;0.4607837200164795,0.4409793019294739,0.4007937014102936,0.3401583433151245,0.2618793249130249,0.1709990501403809,0.0812783613801003,0.0163635127246380;0.7055403590202332,0.7047948837280273,0.7050915360450745,0.7042125463485718,0.7034391164779663,0.7037952542304993,0.7051742076873779,0.7024271488189697
27;b37cb180d2e68189e6fbde47a6798268;0.0500018261373043,0.0460207089781761,0.0400201827287674,0.0332487262785435,0.0236540567129850,0.0148611925542355,0.0073997071012855,0.0020726870279759;0.1673504859209061,0.1671284437179565,0.1656603813171387,0.1649870872497559,0.1654876768589020,0.1643799990415573,0.1652575284242630,0.1654993742704391
28;884353989b8bb9c30d609ebddf84f980;0.3894993960857391,0.3695257902145386,0.3354299068450928,0.2906387150287628,0.2425557971000671,0.1959813237190247,0.1586402654647827,0.1361253857612610;0.9999978542327881,0.9999982118606567,0.9999986886978149,0.9999986886978149,0.9999986886978149,0.9999985694885254,0.9999984502792358,0.9999974966049194
29;b4a23d916a4dea7cca2f852d9be8ae34;0.6143107414245605,0.6343377232551575,0.6672176122665405,0.7113470435142517,0.7593904137611389,0.8052568435668945,0.8407200574874878,0.8629707098007202;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
30;a2b50c81e5a508d1e458af5b888a0b93;0.6194963455200195,0.5943726301193237,0.5502713322639465,0.4855696558952332,0.4020961225032806,0.3061273097991943,0.2114273458719254,0.1462726294994354;0.9999994039535522,0.9999995231628418,0.9999996423721313,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999996423721313,0.9999994039535522
31;164c47bbcbd5b04286fb328de5856aca;0.3801003396511078,0.4041961729526520,0.4476414322853088,0.5132108926773071,0.5966691374778748,0.6915776729583740,0.7827573418617249,0.8452168107032776;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
32;cf81ff07d517b6afd7502217312e91bf;0.7442465424537659,0.7449821829795837,0.7440661191940308,0.7437341809272766,0.7431664466857910,0.7417185306549072,0.7424552440643311,0.7414159178733826;0.2821674346923828,0.2617464065551758,0.2257474213838577,0.1794146299362183,0.1263325810432434,0.0749766230583191,0.0326818898320198,0.0059824506752193
33;a7442cb5ceb788b85f4541265c2d9228;0.4089922606945038,0.3852975666522980,0.3421742320060730,0.2806934118270874,0.2086996287107468,0.1298837810754776,0.0588195435702801,0.0123559217900038;0.4798694849014282,0.4788438677787781,0.4785836338996887,0.4794918298721313,0.4779159426689148,0.4782482981681824,0.4789495468139648,0.4783064723014832
34;50ba9f665df9dd61c85ab87c0f7bf910;0.0181737318634987,0.0888424441218376,0.1885605901479721,0.2898393571376801,0.3774125277996063,0.4451177120208740,0.4911192655563354,0.5181511640548706;0.6126726269721985,0.6126022934913635,0.6127265691757202,0.6125252246856689,0.6118282675743103,0.6125543713569641,0.6127237081527710,0.6122657060623169
35;b566ef510113cd647bad3bc145e84e77;0.8036822676658630,0.8041033744812012,0.8040527701377869,0.8039760589599609,0.8040198087692261,0.8039560317993164,0.8042805194854736,0.8035671710968018;0.0134147424250841,0.0659946352243423,0.1490877419710159,0.2444261014461517,0.3354912698268890,0.4126877486705780,0.4695063531398773,0.5028560757637024
36;20c52bcb181589ad95c5f4b024558c61;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.9178577065467834,0.8271576166152954,0.7018427252769470,0.5897203683853149,0.5008766055107117,0.4384558796882629,0.3994432091712952,0.3777213096618652
37;d7a5d6837f9c315aba8a4e349885aa83;0.9999945163726807,0.9999952316284180,0.9999959468841553,0.9999961853027344,0.9999958276748657,0.9999953508377075,0.9999938011169434,0.9999899864196777;0.0727259069681168,0.1737069487571716,0.2993342280387878,0.4119894504547119,0.4990278482437134,0.5592309236526489,0.5997971296310425,0.6224763393402100
38;56f06f7505611158c3d6ffe66ef4d247;0.9023386836051941,0.9070242047309875,0.9100400209426880,0.9095454812049866,0.9096916913986206,0.9097607135772705,0.9111140370368958,0.9114561676979065;0.0605676360428333,0.2568185627460480,0.4542379677295685,0.6036796569824219,0.7045221924781799,0.7676486372947693,0.8062361478805542,0.8251269459724426
39;a61fbc94b09baa0da2458d866f5caf64;0.7717802524566650,0.7103260159492493,0.6046478152275085,0.4728092253208160,0.3276244997978210,0.1910450607538223,0.0812164768576622,0.0164850447326899;0.8543952703475952,0.8580287098884583,0.8574586510658264,0.8563399910926819,0.8560345768928528,0.8557313084602356,0.8545938730239868,0.8549856543540955
40;22be186f872f8cbaa523d21050dfa51f;0.5769271850585938,0.5775698423385620,0.5767857432365417,0.5770139694213867,0.5765892863273621,0.5768485069274902,0.5771688818931580,0.5773549675941467;0.5151697993278503,0.4920031726360321,0.4485088288784027,0.3843879997730255,0.2988065183162689,0.1968522369861603,0.0950160175561905,0.0202018339186907
41;cee371bd98b2759b60b742397718d489;0.4261221289634705,0.4253265261650085,0.4246663749217987,0.4247645139694214,0.4256181120872498,0.4249438643455505,0.4264718890190125,0.4261437952518463;0.3989423811435699,0.3710645735263824,0.3211702406406403,0.2576441466808319,0.1837662905454636,0.1109038665890694,0.0490186288952827,0.0096750305965543
42;bef983a4bb967c19d064e580e7e4f008;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.9146116971969604,0.8877014517784119,0.8361639976501465,0.7645033001899719,0.6792918443679810,0.5886255502700806,0.5075938105583191,0.4521310627460480
43;4c76c6cf13eb7b9956a657e8f737021d;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.9999998807907104,0.9999998807907104;0.0790100768208504,0.1157620102167130,0.1669016182422638,0.2375068813562393,0.3229909539222717,0.4131217896938324,0.4945485591888428,0.5491521954536438
44;0333c0a570ca9f1991e19402f3694915;0.8994122743606567,0.8992567062377930,0.8979938030242920,0.8985384106636047,0.8976643681526184,0.8967924118041992,0.8962149024009705,0.8975698351860046;0.0207878220826387,0.1030861958861351,0.2301203161478043,0.3695375025272369,0.4990410208702087,0.6043880581855774,0.6803110241889954,0.7222820520401001
45;c9c7dd96d96975131667adc5f0bd2d26;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.7466517686843872,0.7190957069396973,0.6733002066612244,0.6076241731643677,0.5217622518539429,0.4285497665405273,0.3384067416191101,0.2766844928264618
46;b50137aa85ff9cebed4f27b82f3a07d3;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.2496601790189743,0.2758888900279999,0.3216171860694885,0.3885911107063293,0.4745835661888123,0.5699318647384644,0.6603761911392212,0.7250668406486511
47;3124aa9874a34a85e02806c753e10197;0.4860527813434601,0.4634460508823395,0.4212245643138885,0.3577948808670044,0.2768266201019287,0.1796666830778122,0.0853874534368515,0.0183044765144587;0.5452858805656433,0.5451238751411438,0.5465971827507019,0.5464274883270264,0.5454053282737732,0.5462536215782166,0.5465757250785828,0.5464337468147278
48;4515cd68e1685a674cb064a9c0db25be;0.0046996343880892,0.0270220842212439,0.0633922889828682,0.1054411530494690,0.1475751549005508,0.1822625845670700,0.2102702707052231,0.2227346152067184;0.3428298532962799,0.3432449698448181,0.3450917303562164,0.3445219993591309,0.3443283140659332,0.3440933525562286,0.3455072641372681,0.3447222113609314
49;c4bdbafa0bd0537d5545063ddc66fce6;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.9227759242057800,0.8964887857437134,0.8490357398986816,0.7837805151939392,0.7122631669044495,0.6416964530944824,0.5824335217475891,0.5442441105842590
50;f3b0a2f77790ea4243ffc97965eb7886;0.9999997615814209,0.9999998807907104,0.9999998807907104,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999996423721313,0.9999994039535522;0.0691972374916077,0.1044665277004242,0.1538562625646591,0.2176740318536758,0.2896123230457306,0.3595710396766663,0.4198580682277679,0.4593710601329803
51;731f86245b060eb2f33a6d1ab288df7c;0.4077465832233429,0.4075924158096313,0.4058190584182739,0.4054076373577118,0.4062155485153198,0.4050000011920929,0.4061827361583710,0.4069285392761230;0.0089710038155317,0.0427539758384228,0.0946085080504417,0.1518737375736237,0.2064124792814255,0.2516372501850128,0.2848393917083740,0.3039582371711731
52;17bc027a657a24adc2720d3b5060bcb0;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.6038936972618103,0.5906897187232971,0.5684789419174194,0.5403736829757690,0.5094339847564697,0.4807002544403076,0.4583178460597992,0.4453123509883881
53;bc41a9d7ae8c93334716330a896fc71d;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.3940184414386749,0.4070885479450226,0.4292370080947876,0.4579073488712311,0.4886652231216431,0.5173144340515137,0.5407236814498901,0.5555756092071533
54;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8106794953346252,0.7578508853912354,0.6794580221176147,0.5939639210700989,0.5154289007186890,0.4529088437557220,0.4084213674068451,0.3824445307254791;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
55;88c05c1d492fb317bf8a2e1984f14cf7;0.1883906722068787,0.2410824298858643,0.3204527199268341,0.4036505818367004,0.4818085134029388,0.5453034043312073,0.5905152559280396,0.6167087554931641;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
56;ddd48a2a79924b6986956ac59bdee1ad;0.4635033011436462,0.4448601305484772,0.4098053574562073,0.3560667634010315,0.2852913141250610,0.2052552551031113,0.1293475180864334,0.0754977986216545;0.9998580217361450,0.9998806715011597,0.9999012947082520,0.9999127388000488,0.9999165534973145,0.9999195337295532,0.9999139308929443,0.9998880624771118
57;722810ebcdc4219799512ce35d381e94;0.5333420634269714,0.5539132356643677,0.5910372138023376,0.6451979279518127,0.7151168584823608,0.7941773533821106,0.8712240457534790,0.9267029762268066;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
58;92d55a1ea0cc01f1c16467d416a937f9;0.0324371457099915,0.1575102508068085,0.3067833185195923,0.4392976462841034,0.5382929444313049,0.6068412661552429,0.6509057879447937,0.6698905825614929;0.7499582171440125,0.7501143217086792,0.7494611144065857,0.7495312094688416,0.7485285997390747,0.7481667399406433,0.7495678663253784,0.7486131191253662
59;a10d98a28ca9db9366b473da2bf16297;0.9579713344573975,0.8914726376533508,0.7817654013633728,0.6577502489089966,0.5420071482658386,0.4464588463306427,0.3790831267833710,0.3383454382419586;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
60;043616055292b7b76acaabf976759f08;0.0319941975176334,0.1047558188438416,0.2163603156805038,0.3413345515727997,0.4587671756744385,0.5555428862571716,0.6241357922554016,0.6630466580390930;0.9986736774444580,0.9988042116165161,0.9989097118377686,0.9988665580749512,0.9988034963607788,0.9987341761589050,0.9986847043037415,0.9985769987106323
61;5ea66817f942ed3b8ab166bb9c3ba12f;0.7539057135581970,0.7096888422966003,0.6356023550033569,0.5404106378555298,0.4349410831928253,0.3340990841388702,0.2547980546951294,0.2055795490741730;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
62;b91f7d4f3d6e90ca1169e596791c6dca;0.2429410368204117,0.2875825166702271,0.3634643256664276,0.4588998258113861,0.5645662546157837,0.6649258732795715,0.7465554475784302,0.7967449426651001;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
63;f87f0151b2214ee42e60ecdd15d0bcb2;0.8238435983657837,0.8261255621910095,0.8259359002113342,0.8249272108078003,0.8249382972717285,0.8242206573486328,0.8246566057205200,0.8236009478569031;0.0380456596612930,0.1729613393545151,0.3336183428764343,0.4808163046836853,0.5940212011337280,0.6720009446144104,0.7214999198913574,0.7493317723274231
64;3eb646bd268db4de11afd95bf548ecaa;0.0818815082311630,0.0749974101781845,0.0642330273985863,0.0503691397607327,0.0343831889331341,0.0204288586974144,0.0096307136118412,0.0025214662309736;0.1631935983896255,0.1637328565120697,0.1632573902606964,0.1632743626832962,0.1637878715991974,0.1631311774253845,0.1618128865957260,0.1614726036787033
65;02eb47b05052e2c3d4daca8647b7d68e;0.0490647591650486,0.0545540042221546,0.0576838143169880,0.0596903935074806,0.0598408207297325,0.0614243447780609,0.0587782301008701,0.0569801032543182;0.0008158257696778,0.0046460959129035,0.0113375140354037,0.0196540150791407,0.0290822274982929,0.0374538302421570,0.0450642518699169,0.0507061704993248
66;66dc3f35dd08f2cd0316cdf1bcc43fa6;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.6551718711853027,0.6119349598884583,0.5484681725502014,0.4764417409896851,0.4100345373153687,0.3562483191490173,0.3177001178264618,0.2983955442905426
67;4c1cd81676520082469f5b61898429a0;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.3445304036140442,0.3870165050029755,0.4531832039356232,0.5249267816543579,0.5918510556221008,0.6462566852569580,0.6844495534896851,0.7071916460990906
68;3fcff45cdb5d88e46f5a3a13983bfb63;0.6773331165313721,0.6391059160232544,0.5712196230888367,0.4726707041263580,0.3534832894802094,0.2228517979383469,0.1050824671983719,0.0240469947457314;0.6976082324981689,0.7000628709793091,0.6997511386871338,0.6990426778793335,0.6988666653633118,0.6990478038787842,0.7001622915267944,0.6978011131286621
69;f250352716bf4bf8e724340fcd1a211f;0.4557616114616394,0.4347548186779022,0.3948818445205688,0.3339460194110870,0.2558606564998627,0.1659103631973267,0.0784275904297829,0.0159236956387758;0.6480357050895691,0.6496042013168335,0.6480596065521240,0.6490879058837891,0.6489855647087097,0.6494070887565613,0.6490118503570557,0.6499161124229431
70;efe0829aba793524eac68ab4716dd7a2;0.6015754938125610,0.5708797574043274,0.5142515897750854,0.4362938702106476,0.3408423662185669,0.2396191954612732,0.1488944888114929,0.0901691913604736;0.9999461174011230,0.9999527931213379,0.9999605417251587,0.9999648332595825,0.9999659061431885,0.9999669790267944,0.9999655485153198,0.9999535083770752
71;8c47dd112252c6fa7a88de325de76a68;0.3990347087383270,0.4292864799499512,0.4860162734985352,0.5642167329788208,0.6604769229888916,0.7617033123970032,0.8533421754837036,0.9144860506057739;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
72;b37889c15a1ebc760ffd20eef10fe098;0.3945401906967163,0.3728636801242828,0.3345103859901428,0.2792851328849792,0.2106196433305740,0.1341444998979568,0.0617406181991100,0.0124331200495362;0.6149143576622009,0.6156232953071594,0.6149896979331970,0.6155140399932861,0.6155294775962830,0.6157012581825256,0.6158054471015930,0.6158587336540222
73;2b8f9bdf4dcbc51156dd8bec51c89107;0.9447694420814514,0.9065253734588623,0.8459418416023254,0.7745716571807861,0.7027469277381897,0.6393969655036926,0.5918671488761902,0.5651558041572571;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
74;b30d09cf8ecf90ca944eb552a0e247b7;0.0489894375205040,0.0891216099262238,0.1502376943826675,0.2241802811622620,0.2973150312900543,0.3620317578315735,0.4113633632659912,0.4399242699146271;0.9998356103897095,0.9998577833175659,0.9998729228973389,0.9998630285263062,0.9998546838760376,0.9998350143432617,0.9998180270195007,0.9997877478599548
75;d59209aa52dc5f85f89cb91d2a0d09ad;0.6693149209022522,0.6538128256797791,0.6275761127471924,0.5952933430671692,0.5614715814590454,0.5304023623466492,0.5062904953956604,0.4928786754608154;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
76;4241b712bf08fde7eef6dd8788ea8be0;0.3299689292907715,0.3468143939971924,0.3725783526897430,0.4054268598556519,0.4394062459468842,0.4698678851127625,0.4946049153804779,0.5079399943351746;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
77;cbdec2d80700aca54a81954e6b6c0d78;0.3359669744968414,0.3371129333972931,0.3376905620098114,0.3354695439338684,0.3339092731475830,0.3321836888790131,0.3321052491664886,0.3343883454799652;0.0088988048955798,0.0423263311386108,0.0922441035509109,0.1491258144378662,0.2048596590757370,0.2505657970905304,0.2846406400203705,0.3058556020259857
