number;id;xscale;yscale;xcenter;ycenter
10;372a56cac67dbaa6ce4091cd1fdc1159;1.0000152587890625,1.0000302791595459,0.9999623298645020,0.9999605417251587,0.9999512434005737,1.0000514984130859,1.0000196695327759,1.0000679492950439;0.4204350113868713,0.4420282840728760,0.4801190197467804,0.5366524457931519,0.6100361943244934,0.6942342519760132,0.7744804024696350,0.8299564123153687;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.5754193663597107,0.5566337108612061,0.5197535157203674,0.4629600048065186,0.3890106678009033,0.3054587244987488,0.2277896553277969,0.1750226914882660
11;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6882262825965881,0.6878758668899536,0.6883094310760498,0.6882071495056152,0.6886937618255615,0.6889767646789551,0.6893546581268311,0.6890853643417358;0.0104387402534485,0.0455336570739746,0.0982683897018433,0.1599380970001221,0.2174975723028183,0.2652851343154907,0.2999649047851562,0.3193497061729431;0.3089282512664795,0.3088725805282593,0.3086800277233124,0.3086217343807220,0.3085641264915466,0.3084924519062042,0.3082980811595917,0.3081798553466797;0.9908970594406128,0.9550030231475830,0.9021076560020447,0.8425078988075256,0.7852433323860168,0.7369179129600525,0.7013275623321533,0.6806023120880127
12;e4666d7885f2f45be9f58617a3839c55;0.6107190251350403,0.5872042775154114,0.5419445633888245,0.4724290966987610,0.3760910034179688,0.2554742991924286,0.1274168491363525,0.0290817618370056;0.8997722864151001,0.8996848464012146,0.8994106650352478,0.8993644714355469,0.8995878696441650,0.8994671106338501,0.9001064896583557,0.9003243446350098;-0.3895582854747772,-0.4129653871059418,-0.4571630954742432,-0.5258392095565796,-0.6217601895332336,-0.7428936362266541,-0.8725968599319458,-0.9704675674438477;-0.0999670103192329,-0.0993535369634628,-0.0985423997044563,-0.0977776944637299,-0.0974899902939796,-0.0976665541529655,-0.0978969037532806,-0.0980508774518967
13;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3130753040313721,0.2940566837787628,0.2596613764762878,0.2124131172895432,0.1561141312122345,0.0964973568916321,0.0439544022083282,0.0095300078392029;0.4720379710197449,0.4727212786674500,0.4725686907768250,0.4728771150112152,0.4731630086898804,0.4732356071472168,0.4735828042030334,0.4734169244766235;-0.6871904730796814,-0.7061603665351868,-0.7397748231887817,-0.7864536643028259,-0.8429413437843323,-0.9028411507606506,-0.9561528563499451,-0.9912005066871643;-0.5247150659561157,-0.5248189568519592,-0.5249705314636230,-0.5250833630561829,-0.5252869129180908,-0.5253577232360840,-0.5253089666366577,-0.5250810980796814
14;c7a14376ff2627413a7afdb816ee5572;0.8092640638351440,0.8090711832046509,0.8095343112945557,0.8092825412750244,0.8090210556983948,0.8089088201522827,0.8089466094970703,0.8086960315704346;0.0201216340065002,0.0928008407354355,0.1943404972553253,0.2969154417514801,0.3835996985435486,0.4488493204116821,0.4917215406894684,0.5146247148513794;0.1876187175512314,0.1876328140497208,0.1878177672624588,0.1876833587884903,0.1875799000263214,0.1876915246248245,0.1878968328237534,0.1881935745477676;0.9807413816452026,0.9070914983749390,0.8047772049903870,0.7026238441467285,0.6167578101158142,0.5524294972419739,0.5093649625778198,0.4859628081321716
15;a17c9d2e4ea7cce7a03918940cb72d87;0.1271697580814362,0.1173875629901886,0.1013319194316864,0.0801706910133362,0.0563953816890717,0.0333769917488098,0.0145210623741150,0.0027988255023956;0.4171351790428162,0.4154776036739349,0.4164295196533203,0.4157150089740753,0.4166761636734009,0.4169533252716064,0.4155834615230560,0.4153661727905273;-0.8734316229820251,-0.8825730681419373,-0.8980438113212585,-0.9184758663177490,-0.9417718052864075,-0.9647917747497559,-0.9842473864555359,-0.9970883727073669;-0.5907518267631531,-0.5907169580459595,-0.5906587839126587,-0.5903337001800537,-0.5900369882583618,-0.5899158120155334,-0.5900379419326782,-0.5903730392456055
16;d867dcf7063faaeb15b41bc2985ce00b;0.9998477101325989,0.9999365806579590,0.9999500513076782,0.9999424219131470,0.9998850822448730,0.9999760985374451,0.9999555945396423,0.9999504089355469;0.4114332199096680,0.4106897711753845,0.4063310623168945,0.4014409184455872,0.3944257497787476,0.3875561654567719,0.3833496570587158,0.3794750869274139;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.5869306325912476,-0.5899623632431030,-0.5946782827377319,-0.6002878546714783,-0.6063423752784729,-0.6121790409088135,-0.6171459555625916,-0.6198470592498779
17;0a96c8d6dc0ed2d3d4032f3df7e72eef;0.9999505877494812,0.9999889135360718,1.0000686645507812,1.0000683069229126,1.0000171661376953,1.0000138282775879,1.0000321865081787,0.9999929666519165;0.5885825157165527,0.5918987989425659,0.5963895320892334,0.6016263961791992,0.6079412698745728,0.6129413247108459,0.6173424720764160,0.6189731359481812;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.4021115005016327,0.3997951745986938,0.3965798318386078,0.3943265378475189,0.3921788334846497,0.3889449536800385,0.3854479789733887,0.3827658593654633
18;1917fa1202fd8f18b45641f183544c2f;0.0085238516330719,0.0349610745906830,0.0771106183528900,0.1249553561210632,0.1715726852416992,0.2124465405941010,0.2425979226827621,0.2592568397521973;0.2829596400260925,0.2819949984550476,0.2834045290946960,0.2847248911857605,0.2844813168048859,0.2845705449581146,0.2844019234180450,0.2838875949382782;0.9927148222923279,0.9664345383644104,0.9249194264411926,0.8760829567909241,0.8285496830940247,0.7884373068809509,0.7591995000839233,0.7423586249351501;0.7149758934974670,0.7151816487312317,0.7151722908020020,0.7151798009872437,0.7151677608489990,0.7151030898094177,0.7148549556732178,0.7144811153411865
19;8975ef7df607253689476eae7028baf9;0.0461918115615845,0.1989404261112213,0.3724104166030884,0.5144735574722290,0.6154581308364868,0.6815575361251831,0.7229273319244385,0.7445676326751709;0.7700349092483521,0.7700957059860229,0.7704781889915466,0.7708666324615479,0.7702469825744629,0.7706733942031860,0.7705016732215881,0.7702483534812927;0.9537906050682068,0.8002589941024780,0.6267651319503784,0.4855950772762299,0.3844159543514252,0.3166091144084930,0.2747628986835480,0.2530281543731689;0.2264903336763382,0.2266535162925720,0.2263337969779968,0.2258210480213165,0.2257270961999893,0.2257390916347504,0.2254401892423630,0.2252117693424225
20;96ddb7ad56e07aa198b48366f12c121a;0.9998428821563721,0.9998893737792969,0.9999408721923828,0.9999850988388062,1.0000002384185791,0.9999850988388062,0.9998882412910461,0.9998174905776978;0.8041462898254395,0.7575819492340088,0.6813707351684570,0.5915051102638245,0.5001460313796997,0.4194218516349792,0.3585247397422791,0.3231773376464844;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.1958371549844742,-0.2439582347869873,-0.3202335834503174,-0.4107086360454559,-0.5016704201698303,-0.5816584229469299,-0.6427707076072693,-0.6792396306991577
21;1ebda8d24d83ec4312619f4fe54d034f;1.0000536441802979,1.0001560449600220,1.0001804828643799,1.0002871751785278,1.0002938508987427,1.0002093315124512,1.0001188516616821,1.0001260042190552;0.1950428187847137,0.2431486845016479,0.3199770450592041,0.4112560749053955,0.5023716688156128,0.5821328759193420,0.6427771449089050,0.6776723861694336;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.7979001402854919,0.7541826963424683,0.6800302863121033,0.5899791121482849,0.4990006089210510,0.4194912910461426,0.3599279522895813,0.3254671096801758
22;9e71237cdf2f4382f6a710dd85355af3;0.0002785325050354,0.0138143599033356,0.0335144996643066,0.0592887997627258,0.0866075754165649,0.1110229343175888,0.1297491341829300,0.1408006995916367;0.2692450284957886,0.2705101668834686,0.2716290056705475,0.2706491053104401,0.2693886756896973,0.2690247297286987,0.2696023583412170,0.2688644528388977;0.9969416856765747,0.9848150610923767,0.9650518894195557,0.9403215050697327,0.9141824841499329,0.8905943632125854,0.8725522160530090,0.8617937564849854;0.7334084510803223,0.7335627675056458,0.7333488464355469,0.7333185076713562,0.7333821654319763,0.7333636879920959,0.7331581115722656,0.7331660389900208
23;f98c6489e96a73c08ba73e4e2c799a2f;0.9999297261238098,1.0000225305557251,0.9999655485153198,0.9999760389328003,0.9999753236770630,0.9999824762344360,0.9999712705612183,0.9999594688415527;0.5277215838432312,0.5050369501113892,0.4646624326705933,0.4044052958488464,0.3258761465549469,0.2348161935806274,0.1453266143798828,0.0823101103305817;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.4710605144500732,-0.4927110970020294,-0.5332051515579224,-0.5934318304061890,-0.6726429462432861,-0.7634514570236206,-0.8503333330154419,-0.9109466671943665
24;c911783c6f928ba623f2b30bcbf7db83;1.0000658035278320,1.0000565052032471,0.9999568462371826,0.9999531507492065,0.9999414682388306,1.0000529289245605,1.0000352859497070,1.0001413822174072;0.4731923043727875,0.4960463047027588,0.5359570980072021,0.5952348113059998,0.6737055778503418,0.7644699811935425,0.8528878688812256,0.9151228666305542;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.5268906950950623,0.5058371424674988,0.4652384519577026,0.4047312140464783,0.3256619870662689,0.2341197580099106,0.1465593576431274,0.0853070691227913
25;f5f6edafb4b092756eb6acc36ead3b95;0.5702710151672363,0.5718050599098206,0.5705370903015137,0.5692644715309143,0.5672160387039185,0.5661230683326721,0.5658503770828247,0.5661101341247559;0.0014239549636841,0.0119863450527191,0.0339846014976501,0.0631447136402130,0.0999964475631714,0.1415375173091888,0.1763912588357925,0.2007587850093842;0.4309313595294952,0.4298056364059448,0.4290177822113037,0.4284684360027313,0.4281470179557800,0.4277932047843933,0.4272761046886444,0.4269763827323914;0.9971290826797485,0.9849873185157776,0.9643066525459290,0.9346765875816345,0.8979265689849854,0.8573768734931946,0.8189989328384399,0.7933946251869202
26;20d5b2348ee91b6b3810e5cf0f4ce92d;0.4623022973537445,0.4398044943809509,0.3995251953601837,0.3393636941909790,0.2609959244728088,0.1696732938289642,0.0803706347942352,0.0166369676589966;0.7058148384094238,0.7054491043090820,0.7057870030403137,0.7061930894851685,0.7065439224243164,0.7063133716583252,0.7061524391174316,0.7056499719619751;-0.5382723212242126,-0.5602017641067505,-0.6005718111991882,-0.6600306034088135,-0.7378904819488525,-0.8289482593536377,-0.9194146394729614,-0.9837432503700256;-0.2931723296642303,-0.2931846380233765,-0.2932138741016388,-0.2931870222091675,-0.2932262718677521,-0.2932371497154236,-0.2931362390518188,-0.2930956482887268
27;b37cb180d2e68189e6fbde47a6798268;0.0521255135536194,0.0489381551742554,0.0414308607578278,0.0322598218917847,0.0229758024215698,0.0138188600540161,0.0066812634468079,0.0022903382778168;0.1639641523361206,0.1617808640003204,0.1650258302688599,0.1647215038537979,0.1645992100238800,0.1652504205703735,0.1639395505189896,0.1652218252420425;-0.9470938444137573,-0.9511165022850037,-0.9578402042388916,-0.9667931795120239,-0.9767605066299438,-0.9862080812454224,-0.9938867092132568,-0.9987994432449341;-0.8408623337745667,-0.8403695225715637,-0.8400924801826477,-0.8399093151092529,-0.8400667905807495,-0.8402753472328186,-0.8402398824691772,-0.8401874303817749
28;884353989b8bb9c30d609ebddf84f980;0.3841512799263000,0.3645546734333038,0.3308916091918945,0.2883208394050598,0.2414703965187073,0.1960857957601547,0.1588625311851501,0.1360691487789154;1.0001217126846313,1.0001515150070190,1.0001344680786133,0.9999705553054810,0.9999119043350220,0.9998677968978882,0.9998893141746521,0.9999556541442871;-0.6139639616012573,-0.6345721483230591,-0.6685113310813904,-0.7112175226211548,-0.7574898600578308,-0.8023225069046021,-0.8404939770698547,-0.8630840778350830;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
29;b4a23d916a4dea7cca2f852d9be8ae34;0.6137549877166748,0.6331506967544556,0.6666585206985474,0.7105656266212463,0.7583196759223938,0.8044322729110718,0.8414946794509888,0.8648679256439209;1.0000584125518799,0.9999896883964539,0.9998891949653625,1.0000826120376587,1.0001020431518555,0.9998760223388672,0.9999707341194153,0.9998638629913330;0.3900665938854218,0.3685552179813385,0.3336783647537231,0.2902058362960815,0.2434177100658417,0.1991710066795349,0.1633227020502090,0.1413014233112335;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
30;a2b50c81e5a508d1e458af5b888a0b93;0.6202840209007263,0.5959268212318420,0.5519934296607971,0.4874955415725708,0.4042634665966034,0.3085884153842926,0.2163277268409729,0.1518371552228928;0.9997760057449341,0.9998427033424377,0.9999045133590698,0.9999306201934814,1.0000020265579224,1.0000227689743042,0.9999852180480957,0.9999586343765259;-0.3812760412693024,-0.4048971533775330,-0.4484376311302185,-0.5130448937416077,-0.5973342061042786,-0.6939717531204224,-0.7870019078254700,-0.8534165024757385;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
31;164c47bbcbd5b04286fb328de5856aca;0.3789838552474976,0.4035818576812744,0.4484063088893890,0.5132851600646973,0.5973075628280640,0.6925039887428284,0.7830306291580200,0.8450622558593750;0.9999760389328003,1.0000303983688354,1.0001287460327148,1.0000792741775513,1.0000979900360107,1.0000364780426025,0.9999920129776001,0.9999318122863770;0.6206060051918030,0.5967531204223633,0.5528953671455383,0.4874345064163208,0.4030859172344208,0.3076493144035339,0.2173017859458923,0.1546803414821625;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
32;cf81ff07d517b6afd7502217312e91bf;0.7444899678230286,0.7442094087600708,0.7433693408966064,0.7445605993270874,0.7442286014556885,0.7447816729545593,0.7438650131225586,0.7439231872558594;0.2784655988216400,0.2594289183616638,0.2255967259407043,0.1789211034774780,0.1276525557041168,0.0781895816326141,0.0357953906059265,0.0111282169818878;-0.2548955082893372,-0.2549226880073547,-0.2550925314426422,-0.2551568448543549,-0.2549286186695099,-0.2546475827693939,-0.2544901967048645,-0.2544415891170502;-0.7179485559463501,-0.7380793094635010,-0.7726303339004517,-0.8187528848648071,-0.8713379502296448,-0.9233441352844238,-0.9668919444084167,-0.9940109848976135
33;a7442cb5ceb788b85f4541265c2d9228;0.4100105166435242,0.3857888579368591,0.3424854874610901,0.2818897962570190,0.2076483666896820,0.1289516985416412,0.0584836006164551,0.0121758580207825;0.4829728007316589,0.4832114577293396,0.4831852614879608,0.4829727709293365,0.4829374849796295,0.4830795228481293,0.4825349450111389,0.4823488593101501;-0.5912581682205200,-0.6150135993957520,-0.6576204299926758,-0.7175851464271545,-0.7911756038665771,-0.8701337575912476,-0.9409882426261902,-0.9878623485565186;-0.5183914899826050,-0.5184119939804077,-0.5184919238090515,-0.5185768604278564,-0.5187661051750183,-0.5188208818435669,-0.5187980532646179,-0.5185920596122742
34;50ba9f665df9dd61c85ab87c0f7bf910;0.0189666152000427,0.0896960198879242,0.1886608749628067,0.2896393239498138,0.3768830001354218,0.4437176585197449,0.4895423352718353,0.5145263075828552;0.6118826866149902,0.6116669178009033,0.6116550564765930,0.6117597818374634,0.6120612621307373,0.6119444370269775,0.6120287775993347,0.6117702722549438;0.9814521670341492,0.9113730192184448,0.8121739029884338,0.7108669281005859,0.6237763762474060,0.5570571422576904,0.5117184519767761,0.4868619441986084;0.3863291144371033,0.3863015174865723,0.3863250315189362,0.3863305151462555,0.3862491250038147,0.3862178921699524,0.3862561583518982,0.3861231207847595
35;b566ef510113cd647bad3bc145e84e77;0.8055934309959412,0.8055382966995239,0.8055208325386047,0.8059091567993164,0.8056282997131348,0.8057855963706970,0.8056346178054810,0.8059134483337402;0.0129628479480743,0.0670105814933777,0.1503770947456360,0.2450168132781982,0.3367223143577576,0.4140963554382324,0.4705035984516144,0.5024745464324951;0.1964287012815475,0.1963044255971909,0.1961638629436493,0.1958860903978348,0.1956587284803391,0.1955869644880295,0.1955659836530685,0.1956523358821869;0.9863398075103760,0.9325484633445740,0.8502811789512634,0.7551684975624084,0.6630927324295044,0.5857169628143311,0.5294165015220642,0.4974454641342163
36;20c52bcb181589ad95c5f4b024558c61;0.9997145533561707,0.9999396800994873,0.9998874664306641,0.9999841451644897,0.9998551607131958,0.9999659657478333,0.9999195933341980,0.9999375343322754;0.9226183891296387,0.8231284618377686,0.6973832845687866,0.5857498645782471,0.4993897080421448,0.4389220476150513,0.4007254242897034,0.3808192312717438;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.0791474133729935,-0.1779719740152359,-0.3023982942104340,-0.4142785966396332,-0.4998142719268799,-0.5603955984115601,-0.5994107127189636,-0.6190615296363831
37;d7a5d6837f9c315aba8a4e349885aa83;1.0017497539520264,1.0011075735092163,1.0007331371307373,1.0006699562072754,1.0007643699645996,1.0011065006256104,1.0014264583587646,1.0014518499374390;0.0730598568916321,0.1759390085935593,0.3009005188941956,0.4136776924133301,0.4999152421951294,0.5606197714805603,0.5999782681465149,0.6202912330627441;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.9195439219474792,0.8254167437553406,0.7036161422729492,0.5904135704040527,0.5020951628684998,0.4405016899108887,0.4018494784832001,0.3816565275192261
38;56f06f7505611158c3d6ffe66ef4d247;0.9115652441978455,0.9123570919036865,0.9106860160827637,0.9103722572326660,0.9104635715484619,0.9120015501976013,0.9134315848350525,0.9142237901687622;0.0628680288791656,0.2529713511466980,0.4537563323974609,0.6055482625961304,0.7050399780273438,0.7666689157485962,0.8031422495841980,0.8221890926361084;0.0921967551112175,0.0913732275366783,0.0896563753485680,0.0883950516581535,0.0879017785191536,0.0880516991019249,0.0882830098271370,0.0881632491946220;0.9372318387031555,0.7416639924049377,0.5409055948257446,0.3916223347187042,0.2919957339763641,0.2289578765630722,0.1911288201808929,0.1721936315298080
39;a61fbc94b09baa0da2458d866f5caf64;0.7738776206970215,0.7105790376663208,0.6046775579452515,0.4703394770622253,0.3260824084281921,0.1901476830244064,0.0817905962467194,0.0150279998779297;0.8526285886764526,0.8524614572525024,0.8533052802085876,0.8539559841156006,0.8531175851821899,0.8528892993927002,0.8536572456359863,0.8534735441207886;-0.2256553769111633,-0.2892769873142242,-0.3946877419948578,-0.5281298756599426,-0.6725478768348694,-0.8092204928398132,-0.9191554188728333,-0.9850819706916809;-0.1488172560930252,-0.1493563801050186,-0.1500566005706787,-0.1506734639406204,-0.1511182487010956,-0.1511542052030563,-0.1507389843463898,-0.1501578241586685
40;22be186f872f8cbaa523d21050dfa51f;0.5766690969467163,0.5765686035156250,0.5768616199493408,0.5771850347518921,0.5774312019348145,0.5774428844451904,0.5772844552993774,0.5772802829742432;0.5144391059875488,0.4915001690387726,0.4490088224411011,0.3846282064914703,0.2990080714225769,0.1968928873538971,0.0943139195442200,0.0195384323596954;-0.4232330918312073,-0.4231312572956085,-0.4229443669319153,-0.4227724671363831,-0.4227924644947052,-0.4228995144367218,-0.4228949248790741,-0.4229014515876770;-0.4840210974216461,-0.5075393319129944,-0.5508778691291809,-0.6153613328933716,-0.7009661793708801,-0.8024404048919678,-0.9047902822494507,-0.9801006913185120
41;cee371bd98b2759b60b742397718d489;0.4244600832462311,0.4237820208072662,0.4237139821052551,0.4235355257987976,0.4231301248073578,0.4230405092239380,0.4232760071754456,0.4240472018718719;0.3980851769447327,0.3701255619525909,0.3216921389102936,0.2587133646011353,0.1865293681621552,0.1130714118480682,0.0488685965538025,0.0063098371028900;-0.5762125253677368,-0.5760495662689209,-0.5758329629898071,-0.5756959319114685,-0.5757079720497131,-0.5759369134902954,-0.5761604309082031,-0.5760467648506165;-0.6005654335021973,-0.6289706826210022,-0.6777327060699463,-0.7424681782722473,-0.8164801001548767,-0.8900065422058105,-0.9514840841293335,-0.9900270700454712
42;bef983a4bb967c19d064e580e7e4f008;1.0004341602325439,1.0003005266189575,1.0001623630523682,1.0003896951675415,1.0004006624221802,1.0005124807357788,1.0003204345703125,1.0002374649047852;0.9129350185394287,0.8824170827865601,0.8313552141189575,0.7606063485145569,0.6759332418441772,0.5865411162376404,0.5052773952484131,0.4517327249050140;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.0868802890181541,-0.1149418875575066,-0.1652646660804749,-0.2353086024522781,-0.3204911351203918,-0.4126191139221191,-0.4980830550193787,-0.5536618828773499
