number;id;xscales;yscales;xcenter;ycenter
11;372a56cac67dbaa6ce4091cd1fdc1159;1.000015258789062,1.000030159950256,0.9999622702598572,0.9999605417251587,0.9999513626098633,1.000051617622375,1.000019669532776,1.000067949295044;0.4204349517822266,0.442028284072876,0.4801190495491028,0.5366524457931519,0.6100361347198486,0.6942341327667236,0.7744802832603455,0.8299565315246582;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.5754193067550659,0.5566335916519165,0.5197535157203674,0.4629599452018738,0.3890106678009033,0.305458664894104,0.2277896255254745,0.175022691488266
12;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6882262229919434,0.6878758668899536,0.6883094310760498,0.6882071495056152,0.6886937618255615,0.6889765858650208,0.6893546581268311,0.6890853643417358;0.01043878495693207,0.04553365707397461,0.09826843440532684,0.1599380970001221,0.2174974381923676,0.2652851939201355,0.2999648749828339,0.3193496763706207;0.3089282512664795,0.3088725805282593,0.3086800873279572,0.308621734380722,0.3085641860961914,0.3084924519062042,0.3082980811595917,0.3081799149513245;0.9908970594406128,0.955003023147583,0.9021076560020447,0.8425078988075256,0.7852432727813721,0.7369178533554077,0.7013275027275085,0.6806023120880127
13;e4666d7885f2f45be9f58617a3839c55;0.6107189655303955,0.5872042775154114,0.5419445633888245,0.4724290370941162,0.3760909736156464,0.255474328994751,0.127416804432869,0.02908175997436047;0.8997724652290344,0.8996848464012146,0.8994107246398926,0.8993645906448364,0.899587869644165,0.8994670510292053,0.9001066088676453,0.9003243446350098;-0.3895582854747772,-0.4129653871059418,-0.4571630656719208,-0.5258392095565796,-0.6217601895332336,-0.7428936362266541,-0.8725969195365906,-0.9704675674438477;-0.09996701031923294,-0.09935353696346283,-0.09854239970445633,-0.09777769446372986,-0.09748999029397964,-0.09766655415296555,-0.09789690375328064,-0.09805087745189667
14;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3130753040313721,0.2940566539764404,0.2596614062786102,0.2124131172895432,0.1561141610145569,0.09649738669395447,0.04395445436239243,0.009529971517622471;0.4720379412174225,0.4727211892604828,0.4725686013698578,0.4728770554065704,0.4731629490852356,0.4732356071472168,0.4735827744007111,0.473416805267334;-0.6871904730796814,-0.7061605453491211,-0.7397748231887817,-0.7864536643028259,-0.8429413437843323,-0.9028411507606506,-0.9561528563499451,-0.9912005066871643;-0.5247150659561157,-0.524819016456604,-0.5249704718589783,-0.5250833034515381,-0.5252870321273804,-0.525357723236084,-0.5253090262413025,-0.5250810980796814
15;c7a14376ff2627413a7afdb816ee5572;0.8092640042304993,0.8090711832046509,0.8095341920852661,0.809282660484314,0.80902099609375,0.8089088201522827,0.8089466691017151,0.8086960315704346;0.02012164890766144,0.09280075877904892,0.1943404972553253,0.2969154417514801,0.3835996985435486,0.4488493204116821,0.4917216002941132,0.5146246552467346;0.187618687748909,0.1876328140497208,0.1878177523612976,0.1876833438873291,0.187579870223999,0.1876914948225021,0.1878967881202698,0.1881935745477676;0.9807413816452026,0.907091498374939,0.8047772645950317,0.7026238441467285,0.6167578101158142,0.5524294972419739,0.509364902973175,0.485962837934494
16;a17c9d2e4ea7cce7a03918940cb72d87;0.1271697878837585,0.1173875704407692,0.1013319715857506,0.08017069101333618,0.05639541521668434,0.03337699174880981,0.01452107634395361,0.00279886182397604;0.4171351790428162,0.4154775142669678,0.4164294302463531,0.4157150089740753,0.4166762232780457,0.4169532954692841,0.4155833721160889,0.4153661131858826;-0.8734317421913147,-0.8825730085372925,-0.8980438709259033,-0.918475866317749,-0.9417718052864075,-0.9647917747497559,-0.9842473864555359,-0.9970883727073669;-0.5907517075538635,-0.5907168388366699,-0.5906587243080139,-0.5903335809707642,-0.590036928653717,-0.5899158120155334,-0.5900378227233887,-0.5903729796409607
17;d867dcf7063faaeb15b41bc2985ce00b;0.9998476505279541,0.9999365210533142,0.9999500513076782,0.9999423027038574,0.999885082244873,0.9999760389328003,0.9999553561210632,0.9999504089355469;0.4114331901073456,0.4106897711753845,0.4063310921192169,0.4014408588409424,0.3944257497787476,0.3875561058521271,0.3833496570587158,0.3794750571250916;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.5869306921958923,-0.589962363243103,-0.5946784019470215,-0.6002878546714783,-0.6063424348831177,-0.6121791005134583,-0.6171458959579468,-0.6198470592498779
18;0a96c8d6dc0ed2d3d4032f3df7e72eef;0.9999505281448364,0.999988853931427,1.000068664550781,1.000068187713623,1.000017046928406,1.000013709068298,1.000032067298889,0.9999929070472717;0.588582456111908,0.5918988585472107,0.5963893532752991,0.601626455783844,0.6079414486885071,0.6129414439201355,0.6173425316810608,0.6189732551574707;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.4021115005016327,0.3997950851917267,0.3965798020362854,0.3943264782428741,0.3921787738800049,0.3889449536800385,0.3854480087757111,0.3827658891677856
19;1917fa1202fd8f18b45641f183544c2f;0.008523855358362198,0.03496109321713448,0.07711059600114822,0.1249553486704826,0.1715726554393768,0.2124465703964233,0.2425979524850845,0.2592568099498749;0.2829597294330597,0.28199502825737,0.283404529094696,0.28472501039505,0.2844813466072083,0.2845706343650818,0.2844019830226898,0.2838876843452454;0.9927148818969727,0.9664345383644104,0.9249193668365479,0.8760829567909241,0.8285497426986694,0.7884373664855957,0.7591994404792786,0.7423585653305054;0.7149758338928223,0.7151815295219421,0.7151722311973572,0.7151797413825989,0.715167760848999,0.7151030302047729,0.714854896068573,0.7144811153411865
20;8975ef7df607253689476eae7028baf9;0.04619177430868149,0.1989403814077377,0.3724104166030884,0.5144734978675842,0.615458071231842,0.6815574169158936,0.7229272127151489,0.7445675134658813;0.7700349092483521,0.7700957059860229,0.7704782485961914,0.7708666324615479,0.7702470421791077,0.770673394203186,0.7705014944076538,0.7702482342720032;0.9537906050682068,0.800258994102478,0.6267651915550232,0.485595166683197,0.3844160437583923,0.3166091442108154,0.274762898683548,0.2530281543731689;0.2264903485774994,0.2266535013914108,0.2263337671756744,0.2258210629224777,0.2257271260023117,0.2257391065359116,0.2254402339458466,0.2252117842435837
21;96ddb7ad56e07aa198b48366f12c121a;0.9998428225517273,0.9998894333839417,0.9999408721923828,0.9999850988388062,1.000000238418579,0.9999851584434509,0.9998882412910461,0.9998175501823425;0.8041462302207947,0.7575819492340088,0.6813707947731018,0.5915051102638245,0.5001460909843445,0.4194218516349792,0.3585247993469238,0.3231774270534515;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.1958371549844742,-0.2439582347869873,-0.320233553647995,-0.4107086062431335,-0.5016704201698303,-0.5816583037376404,-0.6427707076072693,-0.6792396306991577
22;1ebda8d24d83ec4312619f4fe54d034f;1.000053644180298,1.000156164169312,1.00018048286438,1.000287175178528,1.000293970108032,1.000209450721741,1.000118851661682,1.000125765800476;0.1950428485870361,0.2431487292051315,0.3199770748615265,0.4112561047077179,0.5023716688156128,0.5821330547332764,0.6427770853042603,0.6776723861694336;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.7979001402854919,0.754182755947113,0.680030345916748,0.5899791717529297,0.499000608921051,0.4194912016391754,0.3599279820919037,0.3254670798778534
23;9e71237cdf2f4382f6a710dd85355af3;0.0002785138785839081,0.01381440833210945,0.03351456671953201,0.05928879231214523,0.08660760521888733,0.1110230013728142,0.1297491788864136,0.1408006846904755;0.2692449986934662,0.270510196685791,0.2716290056705475,0.2706491649150848,0.2693887054920197,0.2690247297286987,0.269602358341217,0.2688644230365753;0.9969416856765747,0.9848150014877319,0.9650518298149109,0.9403214454650879,0.9141824245452881,0.8905943036079407,0.872552216053009,0.8617936968803406;0.7334083914756775,0.7335627675056458,0.7333487272262573,0.7333185076713562,0.7333821654319763,0.7333636283874512,0.7331580519676208,0.733165979385376
24;f98c6489e96a73c08ba73e4e2c799a2f;0.999929666519165,1.000022649765015,0.9999656081199646,0.9999760985374451,0.999975323677063,0.9999824166297913,0.999971330165863,0.9999594688415527;0.5277215242385864,0.5050370097160339,0.4646624326705933,0.4044052958488464,0.3258761167526245,0.2348162531852722,0.1453266143798828,0.08231012523174286;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.4710605442523956,-0.492711067199707,-0.5332050919532776,-0.5934317708015442,-0.6726429462432861,-0.7634515166282654,-0.8503333330154419,-0.9109466671943665
25;c911783c6f928ba623f2b30bcbf7db83;1.000065922737122,1.000056505203247,0.9999569058418274,0.9999531507492065,0.9999414086341858,1.000052928924561,1.000035405158997,1.000141382217407;0.4731922149658203,0.4960464239120483,0.5359570980072021,0.5952348113059998,0.6737053990364075,0.764470100402832,0.8528879284858704,0.9151226878166199;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.526890754699707,0.5058371424674988,0.4652385115623474,0.4047311842441559,0.3256619572639465,0.2341197431087494,0.1465593278408051,0.08530706912279129
26;f5f6edafb4b092756eb6acc36ead3b95;0.5702711343765259,0.5718051791191101,0.5705370903015137,0.5692645311355591,0.5672162771224976,0.5661231279373169,0.5658504962921143,0.5661101341247559;0.001423917710781097,0.01198630034923553,0.03398453444242477,0.06314462423324585,0.09999638050794601,0.1415374577045441,0.1763911843299866,0.2007587254047394;0.4309312999248505,0.4298054873943329,0.4290176630020142,0.4284683167934418,0.4281468689441681,0.4277930557727814,0.4272760152816772,0.4269762337207794;0.9971291422843933,0.9849873185157776,0.964306652545929,0.9346766471862793,0.8979266285896301,0.8573769927024841,0.8189989328384399,0.7933946251869202
27;20d5b2348ee91b6b3810e5cf0f4ce92d;0.4623022079467773,0.4398044347763062,0.3995251655578613,0.3393636345863342,0.2609958946704865,0.1696732491254807,0.08037061989307404,0.01663693971931934;0.7058147788047791,0.705449104309082,0.7057870626449585,0.7061931490898132,0.7065438628196716,0.7063132524490356,0.7061524391174316,0.7056500315666199;-0.5382723212242126,-0.5602018237113953,-0.600571870803833,-0.6600306630134583,-0.7378904819488525,-0.8289482593536377,-0.9194146990776062,-0.9837432503700256;-0.293172299861908,-0.2931846082210541,-0.2932138741016388,-0.2931870520114899,-0.2932263016700745,-0.2932371497154236,-0.2931362688541412,-0.2930956780910492
28;b37cb180d2e68189e6fbde47a6798268;0.05212551355361938,0.04893817007541656,0.04143087565898895,0.03225982934236526,0.02297580987215042,0.01381885912269354,0.006681231781840324,0.002290290780365467;0.163964256644249,0.1617809385061264,0.165025919675827,0.1647215485572815,0.1645992994308472,0.1652505248785019,0.1639396250247955,0.1652218997478485;-0.9470937848091125,-0.9511165022850037,-0.9578402042388916,-0.9667931795120239,-0.9767605066299438,-0.9862080812454224,-0.9938867092132568,-0.9987994432449341;-0.8408622145652771,-0.8403694629669189,-0.8400923609733582,-0.8399091958999634,-0.8400667905807495,-0.8402752280235291,-0.8402398228645325,-0.8401873111724854
29;884353989b8bb9c30d609ebddf84f980;0.3841512501239777,0.3645547330379486,0.3308916389942169,0.2883208990097046,0.2414704561233521,0.1960858553647995,0.158862516283989,0.1360691785812378;1.000121712684631,1.000151515007019,1.000134468078613,0.999970555305481,0.9999119639396667,0.9998679161071777,0.9998893737792969,0.9999556541442871;-0.6139639616012573,-0.6345720887184143,-0.6685113906860352,-0.71121746301651,-0.7574898600578308,-0.8023225069046021,-0.8404940366744995,-0.863084077835083;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
30;b4a23d916a4dea7cca2f852d9be8ae34;0.6137549877166748,0.6331507563591003,0.6666585206985474,0.7105656862258911,0.7583197355270386,0.8044323325157166,0.841494619846344,0.8648679256439209;1.00005841255188,0.9999896883964539,0.999889075756073,1.000082612037659,1.000102043151855,0.9998759031295776,0.9999707937240601,0.9998639225959778;0.3900667130947113,0.3685552477836609,0.3336784541606903,0.2902058959007263,0.2434177547693253,0.1991710513830185,0.1633227318525314,0.1413014531135559;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
31;a2b50c81e5a508d1e458af5b888a0b93;0.6202839612960815,0.5959268808364868,0.5519934296607971,0.4874955117702484,0.4042634069919586,0.308588445186615,0.2163277715444565,0.1518371403217316;0.9997760653495789,0.9998427629470825,0.9999045133590698,0.9999306201934814,1.000002026557922,1.000022768974304,0.9999852776527405,0.9999585747718811;-0.3812761306762695,-0.4048971831798553,-0.4484376907348633,-0.5130448341369629,-0.5973342061042786,-0.6939716935157776,-0.78700190782547,-0.8534165024757385;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
32;164c47bbcbd5b04286fb328de5856aca;0.3789838850498199,0.4035819470882416,0.4484062790870667,0.513285219669342,0.597307562828064,0.6925040483474731,0.7830306887626648,0.8450623750686646;0.9999759793281555,1.000030398368835,1.000128507614136,1.000079274177551,1.00009822845459,1.000036597251892,0.9999920129776001,0.9999316930770874;0.6206059455871582,0.5967531204223633,0.5528953671455383,0.4874345362186432,0.4030859768390656,0.3076493740081787,0.2173017859458923,0.1546803265810013;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
33;cf81ff07d517b6afd7502217312e91bf;0.7444899678230286,0.7442094087600708,0.7433693408966064,0.7445606589317322,0.7442286014556885,0.7447816133499146,0.7438649535179138,0.7439231872558594;0.2784656286239624,0.2594289183616638,0.2255967557430267,0.178921103477478,0.127652570605278,0.07818962633609772,0.03579540550708771,0.01112826075404882;-0.2548954784870148,-0.2549227178096771,-0.2550925016403198,-0.2551568448543549,-0.2549285888671875,-0.2546476125717163,-0.2544901967048645,-0.2544415891170502;-0.7179485559463501,-0.7380792498588562,-0.7726303339004517,-0.8187528252601624,-0.8713379502296448,-0.9233441352844238,-0.9668919444084167,-0.9940109848976135
34;a7442cb5ceb788b85f4541265c2d9228;0.4100104868412018,0.3857889175415039,0.3424854874610901,0.281889796257019,0.2076483815908432,0.1289516240358353,0.05848349630832672,0.01217581797391176;0.4829728305339813,0.4832114279270172,0.4831852614879608,0.4829728007316589,0.4829374551773071,0.4830794930458069,0.4825348854064941,0.4823488891124725;-0.5912582278251648,-0.6150136590003967,-0.6576204895973206,-0.7175852060317993,-0.7911756038665771,-0.8701337575912476,-0.9409882426261902,-0.9878623485565186;-0.5183915495872498,-0.5184120535850525,-0.5184919238090515,-0.5185768604278564,-0.5187660455703735,-0.5188208818435669,-0.5187980532646179,-0.5185920596122742
35;50ba9f665df9dd61c85ab87c0f7bf910;0.01896667666733265,0.08969605714082718,0.1886609047651291,0.2896392643451691,0.3768830001354218,0.4437177777290344,0.4895423054695129,0.5145264267921448;0.6118826270103455,0.6116668581962585,0.6116551160812378,0.6117597222328186,0.6120612025260925,0.6119444370269775,0.6120287775993347,0.6117701530456543;0.9814521670341492,0.9113730192184448,0.8121739625930786,0.7108669281005859,0.6237763166427612,0.5570571422576904,0.5117184519767761,0.486861914396286;0.3863291442394257,0.3863016068935394,0.3863250911235809,0.3863305747509003,0.3862491250038147,0.3862179517745972,0.3862561881542206,0.3861231505870819
36;b566ef510113cd647bad3bc145e84e77;0.8055934309959412,0.8055384755134583,0.8055209517478943,0.8059091567993164,0.8056282997131348,0.8057857155799866,0.805634617805481,0.8059134483337402;0.01296274363994598,0.06701049208641052,0.1503770351409912,0.2450167238712311,0.3367222249507904,0.4140963554382324,0.4705035984516144,0.5024746656417847;0.1964286863803864,0.1963044106960297,0.1961638480424881,0.1958860903978348,0.1956587284803391,0.1955869644880295,0.1955659985542297,0.1956523209810257;0.986339807510376,0.932548463344574,0.8502811789512634,0.7551684379577637,0.6630927324295044,0.5857169628143311,0.5294165015220642,0.4974453449249268
37;20c52bcb181589ad95c5f4b024558c61;0.9997144937515259,0.9999396204948425,0.999887228012085,0.999984085559845,0.9998552203178406,0.9999659061431885,0.999919593334198,0.9999375939369202;0.9226183891296387,0.8231284618377686,0.6973832249641418,0.5857499241828918,0.4993897080421448,0.438922107219696,0.4007254242897034,0.3808192014694214;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.07914745807647705,-0.1779720187187195,-0.302398294210434,-0.4142785966396332,-0.499814361333847,-0.5603955984115601,-0.5994107723236084,-0.6190615296363831
38;d7a5d6837f9c315aba8a4e349885aa83;1.001749753952026,1.001107454299927,1.000733137130737,1.000669956207275,1.00076425075531,1.00110650062561,1.001426339149475,1.001451969146729;0.07305986434221268,0.175939068198204,0.3009004890918732,0.4136777520179749,0.4999151527881622,0.5606197118759155,0.5999782085418701,0.6202912330627441;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.9195438623428345,0.8254168033599854,0.703616201877594,0.5904136300086975,0.5020951628684998,0.4405016601085663,0.4018495380878448,0.3816566169261932
39;56f06f7505611158c3d6ffe66ef4d247;0.9115651845932007,0.9123572111129761,0.9106860756874084,0.9103723168373108,0.9104637503623962,0.9120016098022461,0.913431704044342,0.914223849773407;0.06286796182394028,0.2529713809490204,0.4537563323974609,0.6055484414100647,0.7050400376319885,0.7666690945625305,0.803142249584198,0.8221892118453979;0.09219673275947571,0.09137320518493652,0.08965634554624557,0.08839502930641174,0.0879017561674118,0.08805166929960251,0.08828297257423401,0.08816322684288025;0.9372318387031555,0.7416639924049377,0.5409056544303894,0.3916223645210266,0.2919957637786865,0.2289579063653946,0.1911288201808929,0.172193631529808
40;a61fbc94b09baa0da2458d866f5caf64;0.7738775014877319,0.710578978061676,0.6046774983406067,0.4703393578529358,0.3260824084281921,0.1901476085186005,0.08179056644439697,0.01502791047096252;0.8526287078857422,0.8524614572525024,0.8533051609992981,0.8539560437202454,0.8531174063682556,0.8528892993927002,0.8536573052406311,0.8534733653068542;-0.2256553918123245,-0.2892770171165466,-0.3946878015995026,-0.5281299352645874,-0.6725479364395142,-0.8092204332351685,-0.9191554188728333,-0.9850819706916809;-0.1488172262907028,-0.1493563801050186,-0.1500566005706787,-0.1506734639406204,-0.1511182487010956,-0.1511542052030563,-0.1507389694452286,-0.1501578092575073
41;22be186f872f8cbaa523d21050dfa51f;0.5766690969467163,0.5765685439109802,0.576861560344696,0.5771850943565369,0.5774312019348145,0.5774429440498352,0.5772844552993774,0.5772803425788879;0.5144391059875488,0.4915002286434174,0.4490087628364563,0.3846282362937927,0.2990080714225769,0.1968928575515747,0.09431391954421997,0.01953846402466297;-0.4232330620288849,-0.4231312572956085,-0.4229443371295929,-0.4227724075317383,-0.4227924346923828,-0.4228995144367218,-0.4228949248790741,-0.422901451587677;-0.484021008014679,-0.5075392723083496,-0.5508778095245361,-0.615361213684082,-0.7009661793708801,-0.8024404048919678,-0.9047901630401611,-0.980100691318512
42;cee371bd98b2759b60b742397718d489;0.4244601130485535,0.4237820208072662,0.4237139821052551,0.4235355257987976,0.4231300950050354,0.4230405390262604,0.4232759773731232,0.4240472018718719;0.3980851173400879,0.3701255619525909,0.321692168712616,0.2587133646011353,0.1865293830633163,0.1130714416503906,0.04886864498257637,0.006309872027486563;-0.5762125253677368,-0.5760495662689209,-0.5758329629898071,-0.5756959319114685,-0.5757080316543579,-0.5759368538856506,-0.5761604309082031,-0.5760467052459717;-0.6005653738975525,-0.6289705634117126,-0.6777326464653015,-0.7424680590629578,-0.8164800405502319,-0.8900065422058105,-0.9514840841293335,-0.9900270700454712
43;bef983a4bb967c19d064e580e7e4f008;1.000434160232544,1.000300526618958,1.000162243843079,1.000389814376831,1.00040066242218,1.000512480735779,1.000320434570312,1.000237464904785;0.9129350781440735,0.8824170827865601,0.8313552737236023,0.7606063485145569,0.6759330630302429,0.5865411162376404,0.5052772760391235,0.451732724905014;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.08688029646873474,-0.1149418950080872,-0.1652646511793137,-0.2353086173534393,-0.3204911351203918,-0.4126191735267639,-0.4980831146240234,-0.5536620020866394
